0,1,2,kss
18054,0,0,0
18265,0,0,0
20606,158,0,0
15353,12,0,0
18398,0,0,0
18022,0,0,0
18155,1,0,0
18142,4,0,0
16190,108,0,0
18756,101,0,0
16499,324,0,0
18165,0,0,0
19282,20,0,0
11357,1,0,0
18122,0,0,0
18058,5,0,0
18031,0,0,0
19440,0,0,0
17963,7,0,1
18105,0,0,1
18512,10,0,1
18213,12,0,1
17889,161,0,1
17873,0,0,1
18041,0,0,1
18274,94,0,1
18539,68,0,1
9796,0,0,1
18732,0,0,1
20413,0,0,1
19826,17,0,1
18047,495,0,1
14477,12,0,1
18246,0,0,1
18093,11,0,1
17954,83,0,1
18002,10,0,2
18126,0,0,2
18484,0,0,2
15395,0,0,2
18037,1,0,2
17909,9,0,2
17947,2,0,2
19781,33,0,2
18772,81,0,2
18617,2,0,2
15013,0,0,2
18416,48,0,2
18693,0,0,2
18479,5,0,2
14483,5,0,2
18229,4,0,2
7658,19,0,2
18040,26,0,2
21352,34,0,2
