0,1,2,kss
17789,60,205,0
18176,29,60,0
20126,551,87,0
15196,85,84,0
18398,0,0,0
17992,26,4,0
16592,805,759,0
17973,96,77,0
16298,0,0,0
18758,99,0,0
16669,145,9,0
18160,5,0,0
16283,1357,1662,0
11358,0,0,0
17426,267,429,0
17290,446,327,0
18031,0,0,0
9983,1280,8177,0
17822,15,133,1
18105,0,0,1
16235,1029,1258,1
12999,3137,2089,1
17452,228,370,1
14481,2231,1161,1
16299,963,779,1
16364,1019,985,1
18538,52,17,1
9546,92,158,1
14393,2050,2289,1
19359,389,665,1
18291,549,1003,1
14318,2829,1395,1
14293,74,122,1
17770,138,338,1
12484,2600,3020,1
18037,0,0,1
17597,179,236,2
17834,103,189,2
9278,1601,7605,2
15250,81,64,2
15670,223,2145,2
17623,204,91,2
16065,620,1264,2
19298,231,285,2
18499,240,114,2
16145,792,1682,2
7238,3273,4502,2
14937,960,2567,2
17341,534,818,2
16336,954,1194,2
13817,273,398,2
16937,584,712,2
4768,930,1979,2
18066,0,0,2
10942,1124,9320,2
